"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 06 19:07:57 CST 2020","Wed May 06 19:07:57 CST 2020","1","scripts","test_001","Test_Abc","","","test_abc_002",""
"passed","Wed May 06 19:07:57 CST 2020","Wed May 06 19:07:57 CST 2020","1","scripts","test_001","Test_Abc","","","test_abc_001",""
